id,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,Pascoe Vale,1/22 Archibald St,3,t,900000.0,S,Nelson,12/08/2017,8.5,3044.0,3.0,2.0,1.0,0.0,149.0,2014.0,Moreland City Council,-37.72882,144.93301,Northern Metropolitan,7485.0
1,Northcote,3 Lorna Av,2,h,1800000.0,S,McGrath,18/03/2017,5.5,3070.0,,,,,,,Darebin City Council,,,Northern Metropolitan,11364.0
2,Aspendale,75 Laura St,3,h,988000.0,S,Biggin,23/09/2017,21.5,3195.0,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,2824.0
3,Ormond,2 Stewart St,3,h,940000.0,PI,Buxton,16/07/2016,11.8,3204.0,3.0,1.0,1.0,397.0,124.0,1940.0,Glen Eira City Council,-37.9064,145.0291,Southern Metropolitan,3578.0
4,Coburg,171 The Avenue,3,h,1035000.0,S,Nelson,24/02/2018,6.7,3058.0,3.0,1.0,2.0,375.0,169.0,1930.0,Darebin City Council,-37.75339,144.97687,Northern Metropolitan,11204.0
5,Hawthorn,25/178 Power St,2,u,609000.0,S,Marshall,23/09/2017,5.3,3122.0,2.0,1.0,1.0,,69.0,1975.0,Boroondara City Council,-37.82606,145.02535,Southern Metropolitan,11308.0
6,Melbourne,906/1 Roy St,2,u,730000.0,VB,Marshall,28/10/2017,0.0,3000.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,17496.0
7,Essendon,5/3 Ballater St,2,u,485000.0,S,Nelson,19/08/2017,7.5,3040.0,2.0,1.0,1.0,,82.0,1960.0,Moonee Valley City Council,-37.75031,144.90472,Western Metropolitan,9264.0
8,Essendon,101/201 Buckley St,1,u,322000.0,S,Barry,18/11/2017,7.5,3040.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264.0
9,Heidelberg Heights,7 Flinders St,2,h,725000.0,S,Haughton,10/12/2016,10.5,3081.0,2.0,1.0,3.0,577.0,,1955.0,Banyule City Council,-37.7368,145.0524,Eastern Metropolitan,2947.0
10,Croydon,76 Plymouth Rd,3,h,702500.0,SA,Carter,12/08/2017,23.0,3136.0,3.0,1.0,1.0,864.0,,,Maroondah City Council,-37.78264,145.26447,Eastern Metropolitan,11925.0
11,Camberwell,2A Lesley St,2,h,720000.0,VB,Jellis,28/10/2017,7.7,3124.0,2.0,1.0,1.0,,,,Boroondara City Council,-37.84633,145.09576,Southern Metropolitan,8920.0
12,Preston,44 Stokes St,2,h,780000.0,S,Nelson,19/11/2016,8.8,3072.0,2.0,1.0,1.0,310.0,72.0,1950.0,Darebin City Council,-37.7455,144.9954,Northern Metropolitan,14577.0
13,Fawkner,1/11 Brockley Rd,3,h,400000.0,S,Raine,22/05/2016,12.4,3060.0,3.0,1.0,1.0,285.0,,,Hume City Council,-37.7161,144.9662,Northern Metropolitan,5070.0
14,Brunswick West,2/31 Cumming St,3,t,670000.0,PI,Nelson,20/05/2017,5.9,3055.0,3.0,1.0,2.0,109.0,104.0,2010.0,Moreland City Council,-37.7609,144.9416,Northern Metropolitan,7082.0
15,Prahran,9 Harvey St,2,h,1300000.0,PI,Marshall,28/10/2017,4.6,3181.0,2.0,1.0,,158.0,158.0,1890.0,Stonnington City Council,-37.85359,145.01071000000005,Southern Metropolitan,7717.0
16,South Yarra,16/124 Caroline St,1,u,450000.0,PI,hockingstuart,11/02/2017,3.3,3141.0,1.0,1.0,0.0,0.0,,,Melbourne City Council,-37.8332,144.9901,Southern Metropolitan,14887.0
17,Caulfield North,409/58 Kambrook Rd,2,u,540000.0,VB,hockingstuart,19/11/2016,8.1,3161.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,6923.0
18,South Yarra,49 Leopold St,4,h,2600000.0,PI,Williams,18/03/2017,3.3,3141.0,4.0,2.0,2.0,141.0,127.0,1880.0,Melbourne City Council,-37.8366,144.9827,Southern Metropolitan,14887.0
19,Maribyrnong,2/6 Hillsdale Av,4,h,1140000.0,S,hockingstuart,27/05/2017,4.3,3032.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,4918.0
20,Kew,36 Denmark St,3,h,1290000.0,S,Christopher,27/11/2016,5.6,3101.0,3.0,1.0,0.0,321.0,,,Boroondara City Council,-37.8116,145.0285,Southern Metropolitan,10331.0
21,South Yarra,7/44 Darling St,2,u,630000.0,S,Thomson,17/09/2016,3.3,3141.0,2.0,1.0,1.0,0.0,,,Melbourne City Council,-37.8361,144.9921,Southern Metropolitan,14887.0
22,Craigieburn,3 Riverway Vw,3,h,470000.0,S,YPA,29/07/2017,20.6,3064.0,,,,,,,Hume City Council,,,Northern Metropolitan,15510.0
23,Albion,6 Hayden Cr,3,h,613000.0,S,Moonee,29/07/2017,10.5,3020.0,3.0,1.0,2.0,465.0,,,Brimbank City Council,-37.78141,144.82461999999995,Western Metropolitan,2185.0
24,Research,6 Raglan Ct,4,h,900000.0,S,Morrison,6/01/2018,18.0,3095.0,4.0,1.0,1.0,,,,Nillumbik Shire Council,-37.70454,145.18167,Eastern Metropolitan,938.0
25,Glenroy,2/49 Melbourne Av,2,t,410000.0,PI,Melbourne,10/12/2016,13.0,3046.0,,,,,,,Moreland City Council,,,Northern Metropolitan,8870.0
26,Hawthorn,78/8 Wallen Rd,4,u,1650000.0,VB,Kay,15/10/2016,4.6,3122.0,4.0,2.0,3.0,207.0,180.0,2002.0,Boroondara City Council,-37.8271,145.0243,Southern Metropolitan,11308.0
27,Fitzroy,2/23 George St,1,u,308000.0,SP,Peter,25/02/2017,1.6,3065.0,,,,,,,Yarra City Council,,,Northern Metropolitan,5825.0
28,Bentleigh,7 Whitmuir Rd,3,h,1230000.0,S,hockingstuart,25/02/2017,13.0,3204.0,3.0,1.0,2.0,676.0,,,Glen Eira City Council,-37.9161,145.0284,Southern Metropolitan,6795.0
29,Essendon,47 King St,4,h,1961000.0,S,Nelson,17/03/2018,7.5,3040.0,4.0,1.0,2.0,770.0,,,Moonee Valley City Council,-37.7459,144.90357,Western Metropolitan,9264.0
30,Mont Albert,3 Gilbert St,5,h,1955000.0,PI,hockingstuart,8/10/2016,11.8,3127.0,5.0,3.0,2.0,424.0,,,Boroondara City Council,-37.8145,145.1131,Eastern Metropolitan,2079.0
31,Ashwood,6 Leonard St,4,h,1460000.0,S,Buxton,17/03/2018,10.2,3147.0,4.0,2.0,2.0,732.0,,,Monash City Council,-37.86686,145.11005,Southern Metropolitan,2894.0
32,Balaclava,6/22 Sycamore Gr,2,u,495000.0,SP,hockingstuart,9/12/2017,6.4,3183.0,,,,,,,Port Phillip City Council,,,Southern Metropolitan,2952.0
33,Bentleigh East,43b Brosnan Rd,3,t,1220000.0,S,Jellis,16/09/2017,13.8,3165.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969.0
